threshold,approval_rate,precision,recall,f1,tp,fp,tn,fn,bad_rate_on_approved,expected_profit,auc,brier,ks,label_source,model_path
0.78,0.2265,0.9933774834437086,0.9146341463414634,0.9523809523809523,450,3,1505,42,0.006622516556291391,441.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.46,0.2445,0.9754601226993865,0.9695121951219512,0.9724770642201835,477,12,1496,15,0.024539877300613498,441.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.79,0.226,0.9933628318584071,0.9126016260162602,0.951271186440678,449,3,1505,43,0.00663716814159292,440.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.44,0.2455,0.9735234215885947,0.9715447154471545,0.9725330620549338,478,13,1495,14,0.026476578411405296,439.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.45,0.245,0.9734693877551021,0.9695121951219512,0.9714867617107943,477,13,1495,15,0.026530612244897958,438.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.43,0.246,0.9715447154471545,0.9715447154471545,0.9715447154471545,478,14,1494,14,0.028455284552845527,436.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.8,0.2225,0.9932584269662922,0.8983739837398373,0.9434364994663821,442,3,1505,50,0.006741573033707865,433.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.81,0.2215,0.9932279909706546,0.8943089430894309,0.9411764705882353,440,3,1505,52,0.006772009029345372,431.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.42,0.247,0.9676113360323887,0.9715447154471545,0.9695740365111561,478,16,1492,14,0.032388663967611336,430.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.84,0.217,0.9976958525345622,0.8800813008130082,0.9352051835853131,433,1,1507,59,0.002304147465437788,430.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.86,0.2135,1.0,0.8678861788617886,0.9292709466811752,427,0,1508,65,0.0,427.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.82,0.2195,0.9931662870159453,0.8861788617886179,0.9366272824919442,436,3,1505,56,0.00683371298405467,427.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.87,0.213,1.0,0.8658536585365854,0.9281045751633987,426,0,1508,66,0.0,426.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.85,0.215,0.9976744186046511,0.8719512195121951,0.93058568329718,429,1,1507,63,0.002325581395348837,426.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.4,0.249,0.963855421686747,0.975609756097561,0.9696969696969697,480,18,1490,12,0.03614457831325301,426.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.41,0.2485,0.9637826961770624,0.9735772357723578,0.9686552072800809,479,18,1490,13,0.03621730382293763,425.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.83,0.218,0.9931192660550459,0.8800813008130082,0.9331896551724138,433,3,1505,59,0.006880733944954129,424.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.39,0.2495,0.9619238476953907,0.975609756097561,0.9687184661957619,480,19,1489,12,0.03807615230460922,423.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.38,0.2495,0.9619238476953907,0.975609756097561,0.9687184661957619,480,19,1489,12,0.03807615230460922,423.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.36,0.2505,0.9600798403193613,0.9776422764227642,0.9687814702920443,481,20,1488,11,0.03992015968063872,421.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.37,0.25,0.96,0.975609756097561,0.967741935483871,480,20,1488,12,0.04,420.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.88,0.21,1.0,0.8536585365853658,0.9210526315789473,420,0,1508,72,0.0,420.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.89,0.2085,1.0,0.8475609756097561,0.9174917491749175,417,0,1508,75,0.0,417.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.35,0.252,0.9563492063492064,0.9796747967479674,0.9678714859437751,482,22,1486,10,0.04365079365079365,416.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.34,0.2525,0.9544554455445544,0.9796747967479674,0.966900702106319,482,23,1485,10,0.04554455445544554,413.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.33,0.2535,0.9526627218934911,0.9817073170731707,0.9669669669669669,483,24,1484,9,0.047337278106508875,411.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.9,0.205,1.0,0.8333333333333334,0.9090909090909091,410,0,1508,82,0.0,410.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.32,0.254,0.9507874015748031,0.9817073170731707,0.966,483,25,1483,9,0.04921259842519685,408.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.91,0.1995,1.0,0.8109756097560976,0.8956228956228957,399,0,1508,93,0.0,399.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.31,0.256,0.943359375,0.9817073170731707,0.9621513944223108,483,29,1479,9,0.056640625,396.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.3,0.256,0.943359375,0.9817073170731707,0.9621513944223108,483,29,1479,9,0.056640625,396.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.29,0.257,0.9396887159533074,0.9817073170731707,0.9602385685884692,483,31,1477,9,0.06031128404669261,390.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.28,0.2575,0.9378640776699029,0.9817073170731707,0.9592850049652433,483,32,1476,9,0.062135922330097085,387.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.92,0.191,1.0,0.7764227642276422,0.8741418764302059,382,0,1508,110,0.0,382.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.27,0.2585,0.9342359767891683,0.9817073170731707,0.9573835480673935,483,34,1474,9,0.06576402321083172,381.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.26,0.2605,0.927063339731286,0.9817073170731707,0.9536031589338598,483,38,1470,9,0.07293666026871401,369.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.93,0.1845,1.0,0.75,0.8571428571428571,369,0,1508,123,0.0,369.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.25,0.262,0.9255725190839694,0.9857723577235772,0.9547244094488189,485,39,1469,7,0.07442748091603053,368.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.24,0.263,0.9239543726235742,0.9878048780487805,0.9548133595284872,486,40,1468,6,0.07604562737642585,366.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.23,0.265,0.9188679245283019,0.9898373983739838,0.9530332681017613,487,43,1465,5,0.08113207547169811,358.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.22,0.2665,0.9136960600375235,0.9898373983739838,0.9502439024390243,487,46,1462,5,0.08630393996247655,349.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.94,0.174,1.0,0.7073170731707317,0.8285714285714286,348,0,1508,144,0.0,348.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.21,0.2675,0.9102803738317757,0.9898373983739838,0.9483933787731256,487,48,1460,5,0.08971962616822429,343.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.2,0.2675,0.9102803738317757,0.9898373983739838,0.9483933787731256,487,48,1460,5,0.08971962616822429,343.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.19,0.2685,0.9087523277467412,0.991869918699187,0.9484936831875608,488,49,1459,4,0.09124767225325885,341.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.18,0.2695,0.9053803339517625,0.991869918699187,0.9466537342386033,488,51,1457,4,0.09461966604823747,335.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.17,0.2705,0.9020332717190388,0.991869918699187,0.9448209099709584,488,53,1455,4,0.09796672828096119,329.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.16,0.272,0.8988970588235294,0.9939024390243902,0.944015444015444,489,55,1453,3,0.10110294117647059,324.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.95,0.158,1.0,0.6422764227642277,0.7821782178217822,316,0,1508,176,0.0,316.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.15,0.2735,0.8939670932358318,0.9939024390243902,0.9412897016361886,489,58,1450,3,0.10603290676416818,315.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.14,0.2745,0.8907103825136612,0.9939024390243902,0.9394812680115274,489,60,1448,3,0.1092896174863388,309.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.13,0.2775,0.8810810810810811,0.9939024390243902,0.9340974212034384,489,66,1442,3,0.11891891891891893,291.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.12,0.2795,0.8747763864042933,0.9939024390243902,0.9305423406279734,489,70,1438,3,0.1252236135957066,279.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.11,0.283,0.8639575971731449,0.9939024390243902,0.9243856332703214,489,77,1431,3,0.13604240282685512,258.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.1,0.2875,0.8504347826086956,0.9939024390243902,0.9165885660731021,489,86,1422,3,0.14956521739130435,231.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.09,0.292,0.8373287671232876,0.9939024390243902,0.9089219330855018,489,95,1413,3,0.16267123287671234,204.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.08,0.301,0.8122923588039868,0.9939024390243902,0.8939670932358318,489,113,1395,3,0.1877076411960133,150.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.07,0.306,0.7990196078431373,0.9939024390243902,0.8858695652173914,489,123,1385,3,0.20098039215686275,120.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.06,0.3155,0.7749603803486529,0.9939024390243902,0.8708815672306323,489,142,1366,3,0.22503961965134706,63.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.05,0.3335,0.7331334332833583,0.9939024390243902,0.8438308886971527,489,178,1330,3,0.26686656671664166,-45.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
